Application Number,Geographical Indications,Status,Applicant Name,Applicant Address,Date of Filing,Class,Goods,Geographical Area,Priority Country,Journal Number,Availability Date,Certificate Number,Certificate Date,Registration Valid Upto
205,Kalanamak  Rice,Registered,Kalanamak Scented Paddy Production & Conservation Society,"Bhimappar Near Railway Crossing, Siddharthnagar, Uttar Pradesh, India",25-03-2010,30,Agriculture,Uttar Pradesh,India,50,07-05-2013,194,09-09-2013,24-03-2030
206,Rataul Mango,Registered,Rataul Mango Producers Association,"C/o Umar Faridi, Village & Post Office, Rataul, District: Baghpat , Baghpat, Uttar Pradesh, India, 250 101",05-04-2010,31,Agricultural,Uttar Pradesh,India,140,31-08-2021,401,14-09-2021,04-04-2020
207,Dhalapathar Parda & Fabrics,Registered,Dhalapathar Weavers Co-operative Society,"Kalapathar P.O, District: Khurda - 754009, Orissa, India",13-07-2010,24,Handicraft,Odisha,India,44,11-01-2012,174,17-07-2012,11-07-2030
208,Sambalpuri Bandha Saree & Fabrics,Registered,Directorate of Textiles & Handloom,"Government of Orissa, Satyanagar, Bhubaneswar-751007, Orissa, India",13-07-2010,24 & 25,Handicraft,Odisha,India,44,11-01-2012,175,17-07-2012,12-07-2030
209,Thanjavur Veenai (Tanjore Veena),Registered,The Thanjavur Musical Instruments Workers Co-operative Cottage Industrial Society Limited,"(Reg. No.T1270.Estd.1952), No.16, South Main Rd, Thanjavur, Tamil Nadu, India. Facilitated by Tamil Nadu State Council for Science & Technology.",23-07-2010,15 & 20,Handicraft,Tamil Nadu,India,48,29-11-2012,188,30-03-2013,22-07-2030
210,Guledgudd Khana,Registered,The Commissioner for Textile Development & Director of Handlooms and Textiles,"The Commissioner for Textile Development & Director of Handlooms and Textiles, Government of Karnataka, 14/3A, 3rd floor, R.P. Building, Nrupathunga Road, Bangaluru - 560 001.& 5 others, Bangaluru, Karnataka, INDIA, 560 001",29-07-2010,24,Handicraft,Karnataka,India,77,30-11-2015,252,31-03-2016,28-07-2020
211,Bangalore Blue Grapes,Registered,Director of Horticulture,"Department of Horticulture, Government of Karnataka, Biotechnology Centre, Hulimavu, PB No.7648 Bangalore - 560 076, Karnataka, India.",29-07-2010,31,Agriculture,Karnataka,India,48,29-11-2012,189,30-03-2013,28-07-2030
212,Bangalore Rose Onion,Registered,Bangalore Rose Onion Grower's Association,"P.R.S. Farm, chikkaballapur District: Karnataka, India. Facilitated by Director of Horticulture, Department of Horticulture, Government of Karnataka",30-07-2010,31,Agricultural,Karnataka,India,60,17-11-2014,217,25-03-2015,29-07-2030
213,Kinhal Toys,Registered,Karnataka State Handicrafts Development Corporation Limited,"(A Govt. of Karnataka Undertaking) 45, KSHDC Complex, Mahatma Gandhi Road, Bangalore - 560 001, Karnataka, India.",02-08-2010,28,Handicraft,Karnataka,India,41,11-08-2011,165,06-01-2012,01-08-2030
214,Narayanpet Handloom Sarees,Registered,Narayanpet Silk & Cotton  Handloom Sarees Apex Society,"H. No. 3-3-43, Kalyani Street,  Saraf Bazar, Narayanpet - 509210, District Mahabubnagar, Andhra Pradesh, India",02-08-2010,25,Handicraft,Telangana,India,47,30-10-2012,186,04-03-2013,01-08-2030
215,Dharmavaram Handloom Pattu Sarees and Paavadais,Registered,Dharmavaram Handloom Pattu Sarees Apex Society Limited,"D.No.10-2-5, Behind Jayalakshmi Theatre, Dharmavaram Town & Mandal, Anantapur - 515671, Andhra Pradesh, India",02-08-2010,24 & 25,Handicraft,Andhra Pradesh,India,54,28-11-2013,207,31-03-2014,01-08-2030
216,Agra Marble Inlay Work,Withdrawn,Marble Udyog Hastha Silp Vikas Samithi,"A. Marble Udyog Hastha Silp Vikas Samithi, 28/642, Gokulpura, M.G. Road, Agra 282 002. Uttar Pradesh, India & 2 others",02-09-2010,19 & 20,Handicraft,Uttar Pradesh,India,,,,,
217,Bomkai Saree & Fabrics,Registered,Directorate of Textiles & Handloom,"Government of Orissa, Satyanagar, Bhubaneswar - 751 007, Orissa, India",13-09-2010,24,Handicraft,Odisha,India,44,11-01-2012,176,17-07-2012,12-09-2030
218,Nuapatna Tie & Dye Fabrics,Withdrawn,Directorate of Textiles & Handloom,"Directorate of Textiles & Handloom, Government of Orissa, Satyanagar, Bhubaneswar, Orissa - 751 007.",13-09-2010,24 & 25,Handicraft,Odisha,India,,,,,
219,Habaspuri Saree & Fabrics,Registered,Chichaiguda Weavers Co-Operative Society,"Chichaiguda, District: Kalahandi - 766014, Orissa, India",13-09-2010,24,Handicraft,Odisha,India,44,11-01-2012,177,17-07-2012,12-09-2030
220,Berhampur Phoda Kumbha Saree & Joda,Registered,Directorate of Textiles & Handloom,"Government of Orissa, Satyanagar, Bhubaneswar - 751 007, Orissa, India",13-09-2010,24,Handicraft,Odisha,India,44,11-01-2012,178,17-07-2012,12-09-2030
221,Jamnagari Bandhani,Registered,Jamnagar Chamber of Commerce and Industry,"Jamnagar Chamber of Commerce and Industry, Chamber building, Grain Market, Jamnagar Gujarat 361001 India",13-09-2010,24  25,Handicraft,Gujarat,India,83,31-05-2016,273,10-11-2016,12-09-2030
222,Agra Dalmoth,Abandoned,Petha Lagu Udyog Samiti,"Petha Lagu Udyog Samiti, 15/485, Yadav & Compay, Katcha Petha Adath, Chitra Cinema, Agra 282 002, Uttar Pradesh, India.",13-09-2010,30,Food Stuff,Uttar Pradesh,India,,,,,
223,Agra Petha,Abandoned,Petha Lagu Udyog Samiti,"Petha Lagu Udyog Samiti, 15/485, Yadhav & Company, Katcha Petha Adath, Chitra Cinema, Agra - 282 002, Uttar Pradesh, India.",17-09-2010,29,Food Stuff,Uttar Pradesh,India,,,,,
224,Udupi Saree,Registered,Padupanambur Primary Weavers Services Co-operative Society Limited,"L.No. 800, Haleangadi, Taluk: Mangalore, District: Dakshina Kannada - 574 146, Karnataka, India, Facilitated by the Commissioner for Textile Development and Director of Handloom and Textiles, Government of Karnataka",03-11-2010,25,Handicraft,Karnataka,India,77,30-11-2015,253,31-03-2016,02-11-2030
225,Chendamangalam Dhoties & Set Mundu,Registered,Directorate of Handlooms and Textiles,"Government of Kerala, ""Vikas Bhavan"", 4th Floor, Thiruvananthapuram - 695 033, Kerala, India",18-11-2010,25,Handicraft,Kerala,India,41,11-08-2011,166,06-01-2012,17-11-2030
226,Porto,Registered,INSTITUTO DOS VINHOS DO DOURO E DO PORTO,"A potuguese legal entity, Rua Ferreira Borges, no.27, 4050 PORTO, Portugal",09-12-2010,33,Manufactured Goods [Alcoholic beverages (Except Beer)],Portugal,Portugal,41,11-08-2011,167,06-01-2012,08-12-2030
227,Douro,Registered,INSTITUTO DOS VINHOS DO DOURO E DO PORTO,"A Portugese Legal entity, Rua Ferreira Borges, no. 27, 4050 PORTO, Portugal",09-12-2010,33,Manufactured Goods [Alcoholic beverages (Except Beer)],Portugal,Portugal,41,11-08-2011,168,06-01-2012,08-12-2030
228,Ganjam Kewda Rooh,Registered,Ganjam Kewda Development Trust (GKDT),"C/o Reddy House, Hillpatna, Berhampur, Ganjam - 760 005, Odisha, India",24-12-2010,3,Manufactured,Odisha,India,43,03-10-2011,171,19-03-2012,23-12-2030
229,Ganjam Kewda Flower,Registered,Ganjam Kewda Development Trust (GKDT),"C/o Reddy House, Hillpatna, Berhampur, Ganjam - 760 005, Odisha, India",24-12-2010,31,Agriculture,Odisha,India,43,03-10-2011,172,19-03-2012,23-12-2030
230,Cognac,Registered,Bureau National Interprofessionnel du Cognac (BNIC),"23, Allees du Champ de Mars,16100, Cognac, France.",28-12-2010,33,Manufactured,France,France,39,25-03-2011,156,18-08-2011,27-12-2030
231,Erode Manjal (Erode Turmeric),Registered,Erode Manjal vanigarkal Matrum Kidangu Urimaiyalargal Sangam,"No.85, Manjal valagam, Erode, District - Erode - 638 107, Tamil Nadu, India",04-01-2011,30,Agricultural,Tamil Nadu,India,113,05-11-2018,340,06-03-2019,03-04-2031
232,Patan Patola,Registered,Patan Double Ikat Patola Weavers Association,"Patan Double Ikat Patola Weavers Association, Patolawala Farm House, O/s Phatipal Gate, Salviwado, City: Patan, Ta: Patan, District: Patan of Gujarat.",09-03-2011,"24, 25",Handicraft,Gujarat,India,50,07-05-2013,195,09-09-2013,08-03-2031
233,Agra Durrie,Registered,Gramin Hatkala Vikas Samiti,"Gramin Hatkala Vikas Samiti, F-111, Anand Vrindavan, Sanjay Palace, Agra - 282002, Uttar Pradesh, India.",01-04-2011,27,Handicraft,Uttar Pradesh,India,48,29-11-2012,190,30-03-2013,31-03-2031
234,Farrukhabad Prints,Registered,Vastra Chapai Udyog Samiti,"4/15 Chowk, Railway Road, Farrukhabad - 209 625, Uttar Pradesh, India.",01-04-2011,24 & 25,Handicraft,Uttar Pradesh,India,48,29-11-2012,191,30-03-2013,31-03-2021
235,Maunath Bhanjan Sarees & Fabrics,Withdrawn,Bunkar Power Loom Hathkargha Udyog Prashikshan Sansthan,"Bunkar Power Loom Hathkargha Udyog Prashikshan Sansthan, Puralachchhi Rai, Maunath Bhanjan, Mau, Uttar Pradesh.",01-04-2011,24 & 25,Handicraft,Uttar Pradesh,India,,,,,
236,Lucknow Zardozi,Registered,Kalatmak Hastshilp Self Help Group Foundation,"Kalatmak Hastshilp Self Help Group Foundation, No.6, Hamid Road, City Station, Lucknow, Uttar Pradesh, India.",01-04-2011,26,Handicraft,Uttar Pradesh,India,49,30-11-2012,192,30-03-2013,31-03-2031
237,Banaras Brocades and Sarees (Logo),Registered,Banaras Bunkar Samiti,"1.Banaras Bunkar Samiti, Sharma Katra, Rangoli Garden, Chouraha, Near Rangoli Garden Restaurant, Sarnath, Varanasi - 221 007, UP and 8 others",29-04-2011,"23, 24, 25 & 26",Handicraft,Uttar Pradesh,India,49,28-04-2021,193,30-03-2013,28-04-2021
238,Madurai Malli,Registered,Madurai Malli Farmers Association,"Madurai Malli Farmers Association (Regn no. 23/201, Regd. Under the Tamil Nadu Societies Registration Act, 1975), Kurinji Vattara Kalanjiyam, Door no.166, AEO Office Back side, Palamedu Main Road, Alanganallur, Madurai District - 625 501.",03-06-2011,31,Agriculture,Tamil Nadu,India,45,11-09-2012,181,15-01-2013,02-06-2031
239,Warli Painting,Registered,Adivasi Yuva Seva Sangh,"Adivasi Yuva Seva Sangh,  AYUSH, Kothal Pada, Village - Waghadi, Post - Kasa,  Taluka - Dahanu, District - Thane, Maharashtra, 401607., Thane District, Maharashtra , INDIA, 401607",07-06-2011,"16, 20 & 25",Handicraft,"India (Maharashtra, Gujarat, Dadara & Nagar Haveli, Daman Diu",India,54,28-11-2013,208,31-03-2014,06-06-2031
240,Kolhapur Jaggery,Registered,Kolhapur Sheti Utpanna Bazar Samiti,"Shri Shahu Market Yard, Kolhapur - 416 005, Maharashtra, India",29-07-2011,31,Agriculture,Maharashtra,India,54,28-11-2013,209,31-03-2014,
241,Banaganapalle Mangoes,Registered,Horiculture Development Agency,"Represented by Commissioner of Horticulture,Government of Andhra Pradesh,  Public Gardens,   Hyderabad, Telangana 500 004,    INDIA",07-09-2011,31,Horticultural Products,India  (Telangana & Andhra Pradesh),India,94,30-12-2016,295,03-05-2017,06-09-2031
242,Kaipad Rice,Registered,Malabar Kaipad Farmers' Society,"Registration Number 249/10, Ezhome Grama Panchayath, Ezhome P.O., Kannur - 670 334, Kerala, India. Facilitated by Kerala Agricultural University, Kerala",08-09-2011,30,Agriculture,Kerala,India,52,30-10-2013,199,03-03-2014,07-09-2031
243,Tequila,Registered,CONSEJO REGULADOR DEL TEQUILA,"CONSEJO REGULADOR DEL TEQUILA, A.C,
Avenida Patria 723
Jardiness de Guadalupe
45030, Zapopan
Jalisco, Mexico.",26-09-2011,33,Manufactured,Mexico,Mexico,45,11-09-2012,182,15-01-2013,25-09-2031
244,Thewa Art Work,Registered,Rajasthan Thawa Kala Sansthan,"Rajasthan Thawa Kala Sansthan, Pratapgargh, Rajasthan., Pratapgargh District, Rajasthan, INDIA,",17-10-2011,14,Handicraft,Rajasthan,India,54,28-11-2013,210,31-03-2014,16-10-2031
245,Naga Cucumber,Abandoned,Director of Horticulture,"Directorate of Horiculture
Nagaland, Kohima - 797001.",28-11-2011,31,Agricultural Goods,Nagaland,India,,,,,
246,Jägertee / Jagertee / Jagatee,Examination,Austrian Association of Spirit Drinks Industry (Fachverband der Nahrungs- und Genussmittelindustrie),"Austrian Association of Spirit Drinks Industry (Fachverband der Nahrungs- und Genussmittelindustrie) for producers of ""Jägertee"", ""Jagertee"" or ""Jagatee"" in Austria, A-1030 Wien, Zaunergasse 1-3.",28-11-2011,33,Spirits,Austria,Austria,,,,,
247,Inländerrum,Examination,Austrian Association of  Spirit Drinks Industry (Fachverband der Nahrungs- und Genussmittelindustrie),"Austrian Association of  Spirit Drinks Industry (Fachverband der Nahrungs- und Genussmittelindustrie) for the producers of ""Inländerrum"" in Austria, A-1030 Wien, Zaunergasse 1-3.",28-11-2011,33,Spirits,Austria,Austria,,,,,
248,Commandaria,Examination,Wine Product Council,"Wine Product Council, 
86, Franklin Roosevelt Avenue, 3011, Limassol, Cyprus",28-11-2011,33,Wines,Cyprus,Cyprus,,01-01-1900,,01-01-1900,
249,Zivania,Examination,Cyprus Wine Product Council,"Cyprus Wine Product Council, 
86, Franklin Roosevelt Avenue, 3011, Limassol, Cyprus",28-11-2011,33,Spirits,Cyprus,Cyprus,,01-01-1900,,01-01-1900,
250,Českobudějovické pivo,Advertised,Budějovickỳ Budvar,"Budějovickỳ Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale, Karolíny Svělė 4, 370 21 Českė Budějovice, Czech Republic",28-11-2011,32,Beer,Czech Republic,Czech Republic,163,30-09-2022,,,
251,Žatecký chmel’,Registered,Svaz pěstitelů chmele Českė republiky,"Svaz pěstitelů chmele Českė republiky, 
Mostecká 2580, CZ-438 19 Žatec, Czech Republic.",28-11-2011,31,hop,Czech Republic,Czech Republic,142,16-12-2020,409,14-09-2021,27-11-2031
252,Nürnberger Bratwürste/Nürnberger Rostbratwürste,Examination,Schutzverband Nürnberger Bratwürste e. V,"Schutzverband Nürnberger Bratwürste e. V, Rathaus, Hauptmarkt 18, D-90403 Nürnberg, Germany.",28-11-2011,29,sausage,Germany,Germany,,01-01-1900,,01-01-1900,
253,Münchener Bier,Registered,Verein Münchener Brauereien e. V,"Verein Münchener Brauereien e. V, Oskar-von-Miller-Ring 1, D-80333, München, Germany.",28-11-2011,32,Beer,Germany,Germany,142,16-12-2020,410,14-09-2021,27-11-2031
254,Hopfen aus der Hallertau,Examination,Hopfenpflanzerverband Hallertau e.V.,"Hopfenpflanzerverband Hallertau e.V., Kellerstraße 1 85283 Wolnzach, Germany.",28-11-2011,31,Hops,Germany,Germany,,01-01-1900,,01-01-1900,
255,Lübecker Marzipan,Examination,Verein zum Schutz des Herkunftsgewährzeichens Lübecker Marzipan e.v.,"Verein zum Schutz des Herkunftsgewährzeichens Lübecker Marzipan e.v.(Association for the protection of the indication of origin of Lübecker marzipan) – 23560 Lübeck, Zeißstraße 1 – 7, Germany.",28-11-2011,30,Confectionery,Germany,Germany,,01-01-1900,,01-01-1900,
256,Korn,Examination,German Association of Spirit Drinks Producers and Importers and Austrian Association of Spirit Drinks Producers,"German Association of Spirit Drinks Producers and Importers
(Bundesverband der Deustschen Spirituosen-Industrie und - Importeure)
and Austrian Association of Spirit Drinks producers of ""Korn"" or
""Kornbrand"".",28-11-2011,33,Spirits,Germany,Germany,,01-01-1900,,01-01-1900,
257,Mittelrhein,Examination,Deutscher Weinfonds,"Deutscher Weinfonds
Postfach 16 60 55006 Mainz,
Germany.",28-11-2011,33,Wines,Germany,Germany,,01-01-1900,,01-01-1900,
258,Rheinhessen,Examination,Deutscher Weinfonds Postfach,"Deutscher Weinfonds Postfach 16 60 55006 Mainz, Germany.",28-11-2011,33,Wines,Germany,Germany,,01-01-1900,,01-01-1900,
259,Rheingau,Examination,Deutscher Weinfonds Postfach,"Deutscher Weinfonds Postfach 16 60, 55006 Mainz, Germany.",28-11-2011,33,Wines,Germany,Germany,,01-01-1900,,01-01-1900,
260,Mosel-Saar-Ruwer,Examination,Deutscher Weinfonds,"Deutscher Weinfonds Postfach 16 60, 55006 Mainz, Germany.",28-11-2011,33,Wines,Germany,Germany,,01-01-1900,,01-01-1900,
261,Franken,Examination,Deutscher Weinfonds,"Deutscher Weinfonds,
Postfach 16 60, 55006 Mainz, Germany.",28-11-2011,33,Wines,Germany,Germany,,01-01-1900,,01-01-1900,
262,Bayerisches Bier,Registered,"Bayerischer Brauerbund e.V.,","Oskar - Von – Miller – Ring 1, D 80333, Munich, Germany",28-11-2011,32,Beer,Germany,Germany,147,20-09-2021,418,21-01-2022,27-11-2031
263,Chios Mastiha,Registered,Chios Gum Mastic Growers Association,"Chios Gum Mastic Growers Association
Konstantinou Monomaxoul, Postcode 821 00, Greece.",28-11-2011,30,Elastic gum and resins,Greece,Greece,132,13-03-2020,377,14-09-2021,27-11-2021
264,Retsina of  Attiki,Examination,National Interbranch Organisation for Vine and Wine,"National Interbranch Organisation for Vine and Wine
86-88 Marinou Antypa str, 16346, Helioupolis Athens-Greece.",28-11-2011,33,Wines,Greece,Greece,,01-01-1900,,01-01-1900,
265,Ouzo,Examination,Association of Greek Distillates and Spirit drinks - Greece Wine Products Council - Cyprus,"Association of Greek Distillates and Spirit drinks - Greece
Wine Products Council - Cyprus
86-88, Mar. Antypa Str., Ilioupoli, Postal Code 163 46, Athens, Greece.",28-11-2011,33,Spirits,Greece,Greece,,01-01-1900,,01-01-1900,
266,Elia Kalamatas,Examination,Agricultural Cooperatives' Union of Messinia,"Agricultural Cooperatives' Union of Messinia, Iatropoulou 10, 24100 Kalamata, Greece.",28-11-2011,29,Table Olives,Greece,Greece,,01-01-1900,,01-01-1900,
267,Samos,Examination,Union of Winemaking Cooperatives of Samos,"Union of Winemaking Cooperatives of Samos, Malagari, 83100, Samos, Greece.",28-11-2011,33,Wines,Greece,Greece,,01-01-1900,,01-01-1900,
268,Feta,Examination,Greek Farming Union,"Greek Farming Union, Arkadias 26, PC 11526 Athens, Greece.",28-11-2011,29,Cheese,Greece,Greece,,01-01-1900,,01-01-1900,
269,Sitia Lasithiou Kritis,Examination,Union of Agricultural Cooperatives of Sita,"Union of Agricultural Cooperatives of Sita, 1st KM National Road Sitia - AG. Nikolas, GR-72300 Sitia, Crete, Greece.",28-11-2011,29,Food Stuff,Greece,Greece,,01-01-1900,,01-01-1900,
270,Peza Irakliou Kritis,Examination,Union of Agricultural Cooperatives of Peza (Peza Union Crete),"Union of Agricultural Cooperatives of Peza (Peza Union Crete), Kalloni, 70100 Heraklion, Crete, Greece.",28-11-2011,29,Food Stuff,Greece,GREECE,,01-01-1900,,01-01-1900,
271,Lesvos ; Mytilini,Examination,Union of Agricultural Co-Operatives of Lesvos (Lesel),"Union of Agricultural Co-Operatives of Lesvos (Lesel), Skala Pamfilon, 81100, Mytilini, Lesvos, Greece.",28-11-2011,29,Food Stuff,Greece,GREECE,,01-01-1900,,01-01-1900,
272,Kalamata,Examination,Union of Agricultural Cooperatives of Messina,"Union of Agricultural Cooperatives of Messina,
Iatropoulou 10, Kalamata 24100, Greece.",28-11-2011,29,Table Olives,Greece,GREECE,,01-01-1900,,01-01-1900,
273,Nemea,Examination,Cooperative Winery of Nemea,"Cooperative Winery of Nemea
130 Papakonstantinou Av., 20500 Nemea, Greece.",28-11-2011,33,Wines,Greece,GREECE,,01-01-1900,,01-01-1900,
274,Naoussa,Examination,VAENI Naoussa Winemaking Cooperative Episkopi Naoussas,"VAENI Naoussa Winemaking Cooperative
Episkopi Naoussas, 59200, Imathia, Greece.",28-11-2011,33,Wines,Greece,GREECE,,01-01-1900,,01-01-1900,
275,Tsipouro / Tsikoudia,Examination,Federation of Greek Distillates and Spirit drinks - Greece,"Federation of Greek Distillates and Spirit drinks - Greece
86-88, Mar. Antypa Str., Ilioupoli, Postal Code 163 46, Athens, Greece",28-11-2011,33,Spirits,Greece,GREECE,,01-01-1900,,01-01-1900,
276,Málaga,Examination,"Consejo Regulador de la DOP ""Málaga","Consejo Regulador de la DOP ""Málaga""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
277,Rías Baixas,Examination,Bodegas de la Denominación de Origen Rias Baixas,"Bodegas de la Denominación de Origen Rias Baixas,
Plaza da
Pedreira, 10. Edificio Pazo de Mugartegui. 36002 Pontevedra. Spain",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
278,Navarra,Examination,"Consejo Regulador de la DOP ""Navarra","Consejo Regulador de la DOP ""Navarra"", Rua Romana s/n, ES 31390 OLITE.",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
279,Ribera del Duero,Examination,CONSEJO REGULADOR DE LA DENOMINACION DE ORIGEN RIBERA DEL DUERO,"CONSEJO REGULADOR DE LA DENOMINACION DE ORIGEN RIBERA DEL DUERO C/Hospital, 6, 09300 Roa (Burgos), Spain.",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
280,Baena,Examination,"Consejo Regulador de la D.O ""BAENA"" Designation of Origin Regulating Body","Consejo Regulador de la D.O ""BAENA"" Designation of Origin Regulating Body, Plaza de la Constitucion, s/n. Apartado de Correos 92 14850 Baena (Córdoba), Spain.",28-11-2011,29,Virgin Olive Oil,Spain,SPAIN,,01-01-1900,,01-01-1900,
281,Rioja,Examination,"Consejo Regulador de la DOP ""Rioja"",","Consejo Regulador de la DOP ""Rioja"", 
Estambrera Street nº 52, Logroňo, La Rioja (Spain)",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
282,Manzanilla Sanlúcar de Barrameda,Examination,"Consejo Regulador de la DOP ""Manzanilla Sanlúcar de Barrameda","Consejo Regulador de la DOP ""Manzanilla Sanlúcar de Barrameda""
Avd. Alcalde Ălvaro Domecq 2, 11402 Jerez de la Frontera (Spain)",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
283,Jerez-Xérès-Sherry,Examination,"Consejo Regulador de la DOP ""Jerez-Xérès-Sherry""","Consejo Regulador de la DOP ""Jerez-Xérès-Sherry""
Avd. Alcalde Ălvaro Domecq 2, 11402 Jerez de la Frontera (Spain)",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
284,Brandy de Jerez,Registered,"Consejo Regulador de la IGP ""Brandy de Jerez""","Consejo Regulador de la IGP ""Brandy de Jerez"" 
Avd. Alcalde Ălvaro Domecq 2, 11402 Jerez de la Frontera (Spain)",28-11-2011,33,Spirits,Spain,SPAIN,155,13-05-2022,422,31-10-2022,
285,Valdepeñas,Examination,Denominación de Origen Valdepeñas- Asociación Interprofesional,"Denominación de Origen Valdepeñas- Asociación Interprofesional
c/Constitución, nº. 23.",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
286,Cava,Examination,"Consejo Regulador de la DOP ""Cava""","Consejo Regulador de la DOP ""Cava""
AV. Tarragona 24, 08720 vilafranca del penedés-Spain",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
287,Valencia,Examination,"Consejo Regulador de la DOP ""Valencia""","Consejo Regulador de la DOP ""Valencia"", C/. Quart, 22(46001) Valencia",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
288,Somontano,Examination,Consejo Regulador de la Denominación de Origen Somontano,"Consejo Regulador de la Denominación de Origen Somontano, Avenida de la Merced, nº 64, 22300 Barbastro- Huesca, Spain.",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
289,Jumilla,Examination,"Consejo Regulador de la DOP ""Jumilla""","Consejo Regulador de la DOP ""Jumilla"" 
C7 san Roque, 15; 30520 Jumilla-MURCIA-SPAIN",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
290,Sierra de Segura,Examination,"Consejo Regulador de la D.O ""Sierra de Segura"" [Designation of Origin Regulating Body]","Consejo Regulador de la D.O ""Sierra de Segura"" [Designation of Origin Regulating Body]
P.I. Llanos de Armijo s/n, -23360 LA PUERTA DE SEGURA (Jaén), Spain",28-11-2011,29,Virgin olive oil,Spain,SPAIN,,01-01-1900,,01-01-1900,
291,Sierra de Cazorla,Examination,Paseo Infanta Isabel,"Paseo Infanta Isabel, 1, E-28071 Madrid, Spain",28-11-2011,29,extra virgin olive oil,Spain,SPAIN,,01-01-1900,,01-01-1900,
292,Alicante,Examination,"Consejo Regulador de la DOP ""Alicante""","Consejo Regulador de la DOP ""Alicante"",
[Monjas 6. 03002 Alicante]",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
293,Queso Manchego,Examination,QUESO MANCHEGO Avda. del Vino,"QUESO MANCHEGO
Avda. del Vino, s/n - 13300 Valdepeñas - C.Real",28-11-2011,29,Cheese,Spain,SPAIN,,01-01-1900,,01-01-1900,
294,Azafrán de la Mancha,Examination,Asociación Nacional de Productores de Azafrán,"Asociación Nacional de Productores de Azafrán
C/Madrid 9, E-45720 Camuñas (Toledo), Spain",28-11-2011,30,Saffron (Seasoning),Spain,SPAIN,,01-01-1900,,01-01-1900,
295,Priorat,Examination,"Consejo Regulador de la DOP ""Priorat""","Consejo Regulador de la DOP ""Priorat""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
296,La Mancha,Examination,"Consejo Regulador de la DOP ""La Mancha""","Consejo Regulador de la DOP ""La Mancha""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
297,Bierzo,Examination,"Consejo Regulador de la DOP ""Bierzo""","Consejo Regulador de la DOP ""Bierzo""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
298,Rueda,Examination,Consejo Regulador de la Denominación de Origen Rueda,Consejo Regulador de la Denominación de Origen Rueda,28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
299,Toro,Examination,Consejo Regulador de la DOP Toro,Consejo Regulador de la DOP Toro,28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
300,Utiel- Requena,Examination,"Consejo Regular de la DOP ""Utiel- Requena""","Consejo Regular de la DOP ""Utiel- Requena""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
301,Penedés,Examination,"Consejo Regulador de la DOP ""Penedés","Consejo Regulador de la DOP ""Penedés""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
302,Empordà,Examination,"Consejo Regulador de la DOP ""Emporda""","Consejo Regulador de la DOP ""Emporda""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
303,Cataluňa,Examination,"Consejo Regulador de la DOP ""Cataluňa""","Consejo Regulador de la DOP ""Cataluňa""",28-11-2011,33,Wines,Spain,SPAIN,,01-01-1900,,01-01-1900,
304,Vodka of Finland,Examination,"Ministry of Agriculture and Forestry,","Ministry of Agriculture and Forestry,
BOX 30, F1-00023 GOVERNMENT",28-11-2011,33,Spirits,Finland,FINLAND,,01-01-1900,,01-01-1900,
305,Finnish Berry Liqueur,Examination,"Ministry of Agriculture and Forestry,","Ministry of Agriculture and Forestry,
BOX 30, F1-00023 GOVERNMENT",28-11-2011,33,Spirits,Finland,FINLAND,,01-01-1900,,01-01-1900,
306,Beaujolais,Examination,Syndicat Beaujolais et Beaujolais Villages Associés,"Syndicat Beaujolais et Beaujolais Villages Associés
210 Boulevard Vermorel - BP 318 - 69661 VILLEFRANCHE
s/SAONE CEDEX, France",28-11-2011,33,Wines,France,FRANCE,,01-01-1900,,01-01-1900,
